"team","total","attack","defense","n.games","region","age","fall.league","win.league","spr.league","other"
"Sky River SC G03",243,0.17,0.12,28,"WA","G03","NPSL G11D3","","Spr NPSL G11D2",""
"LASC Aztecas G03",236,0.25,0.08,12,"OR","G03","","","",""
"PVSC United G03",235,0.18,0.11,9,"ID","G03","","","",""
"RSA Elite Goucher G02",234,0.13,0.15,30,"WA","G02","PSPL Copa U12","","Spr PSPL Copa U12",""
"THUSC Radium Black G03",232,0.22,0.09,21,"OR","G03","OPL 2nd Div U11","","Spr OPL Deschutes Div U11","Directors Cup OPL Silver U11"
"Bend FC Timbers White G03",231,0.17,0.11,23,"OR","G03","PTT-B G03 Thorns Div 1 (9v9)","","Spr OYS G03 Div 2",""
"Idaho Arsenal United Minions G03",231,0.13,0.15,8,"ID","G03","Idaho D3 B U11","","",""
"Thelo Thunder G02",223,0.11,0.17,30,"OR","G02","OPL 1st Div U12","","Spr OPL Bandon Dunes Div U12",""
"CDA Sting Storm G03",221,0.21,0.09,18,"ID","G03","NWL Group B U11","","Spr NWL Group B U11",""
"Moscow United G02",219,0.17,0.1,17,"ID","G02","NWL U12","","Spr NWL U12",""
"ISC Gunners Select G03",217,0.19,0.09,23,"WA","G03","NPSL G11D2","","Spr NPSL G11D1",""
"NK Fury Blue G02",216,0.1,0.18,17,"WA","G02","PSPL Copa U12","","",""
"PSU Hurricanes G03",206,0.22,0.07,12,"WA","G03","DIII G11D1","","",""
"PCU White G03",203,0.12,0.13,25,"OR","G03","PTT-B G03 Thorns Div 1 (9v9)","","Spr OYS G03 Div 2",""
"Three Rivers SC Green District G03",200,0.17,0.09,12,"WA","G03","NWL Group B U11","","Spr NWL Group B U11",""
"FC Spokane Black G03",200,0.17,0.09,20,"WA","G03","PSPL-Inl Dev Div 1 U11","","Spr PSPL-Inland Div 1 U11",""
"Kent United White G03",197,0.17,0.09,23,"WA","G03","DIII G11D1","","","Founders Cup G03"
"MpVSA Masterson G03",196,0.17,0.09,9,"WA","G03","DIII G11D1","","",""
"Crossfire OR CUSC Black G03",196,0.17,0.09,19,"OR","G03","OPL 2nd Div U11","","Spr OPL Deschutes Div U11",""
"Spokane Foxes Red G03",196,0.25,0.06,22,"WA","G03","PSPL-Inl Dev Div 2 U11","","Spr PSPL-Inland Div 2 U11",""
"Mukilteo Rush G03",194,0.16,0.09,25,"WA","G03","NPSL G11D3","","","Founders Cup G03"
"Sawtooth United FC G01",190,0.06,0.24,9,"ID","G01","","","Spr Idaho D3 B U13",""
"PCU Black G02",188,0.18,0.08,17,"OR","G02","PTT-B G02 Thorns Div 1","","Spr OYS G02 Div 2",""
"SSC Shadow Elite Rennaker G02",185,0.13,0.11,24,"WA","G02","NWL U12","","Spr NWL U12",""
"Newport FC Furies G03",181,0.11,0.12,24,"WA","G03","NPSL G11D3","","","Founders Cup G03"
"Sabers Gallagher G01",176,0.14,0.1,13,"WA","G01","PSPL-Inland Div 2 U13","","",""
"PS Slammers Black G03",172,0.25,0.05,33,"WA","G03","PSPL Classic 1 U11","","Spr PSPL Copa U11","WA Cup GU11 Silver/Bronze U11"
"Crossfire OR WUSC Juventus Red G03",168,0.16,0.08,25,"OR","G03","OPL 2nd Div U11","","Spr OPL Deschutes Div U11","Directors Cup OPL Silver U11"
"FC Columbia County G03",167,0.11,0.11,22,"OR","G03","PTT-B G03 Thorns Div 1 (9v9)","","Spr OYS G03 Div 2",""
"Seattle United NE Blue G02",167,0.11,0.11,24,"WA","G02","NPSL G12D3","","","Founders Cup G02"
"NW United Classic G03",164,0.14,0.09,34,"WA","G03","PSPL Copa U11","","Spr PSPL Copa U11",""
"CB United Blue Angels G03",161,0.21,0.06,22,"WA","G03","PSPL-Inl Dev Div 2 U11","","Spr PSPL-Inland Div 3 U11",""
