"team","total","attack","defense","n.games","region","age","fall.league","win.league","spr.league","other"
"Harbor Premier Green B03",518,0.4,0.36,37,"WA","B03","RCL B03 Div 1","","Win RCL B03 Div 2","WYS Presidents Cup B03 Div 2, NWCL U11"
"NSC Fuego B02",518,0.44,0.32,26,"WA","B02","NPSL B12D1","","","Founders Cup B02"
"Crossfire Premier D B01",517,0.45,0.31,36,"WA","B01","RCL B01 Div 4","","Win RCL B01 Div 5","WYS Presidents Cup B01 Div 2"
"Blackhills FC Black B02",515,0.53,0.26,39,"WA","B02","RCL B02 Div 4","","Win RCL B02 Div 4","WYS Presidents Cup B02 Div 2"
"Lake Hills Inferno B02",514,0.75,0.18,28,"WA","B02","NPSL B12D2","","","Founders Cup B02"
"Washington Timbers Lime B02",511,0.47,0.29,36,"WA","B02","PTT-B B02 Timbers Div 1","","Spr OYS B02 Div 2 Green","OYS Presidents Cup B02"
"PCU Black B02",510,0.37,0.37,39,"OR","B02","PTT-B B02 Timbers Div 1","","Spr OYS B02 Div 1","OYS Presidents Cup B02"
"WS Wildcats B02",509,0.38,0.35,16,"WA","B02","NPSL B12D3","","Spr NPSL B12D2",""
"Aloha United Atletico Black B03",507,0.6,0.22,30,"OR","B03","PTT-B B03 Championship (9v9)","","Spr OYS B03 Premier White","OYS Presidents Cup B03, OYS State Cup B03"
"TFA Barcelona OR Blue B01",505,0.4,0.32,19,"OR","B01","OPL 1st Div U13","","Spr OPL Tillamook Div U13",""
"Washington Timbers Forrest B02",504,0.41,0.31,34,"WA","B02","PTT-B B02 Timbers Div 1","","Spr OYS B02 Div 2 Green","OYS Presidents Cup B02"
"SESC Strikers B02",502,0.48,0.27,34,"OR","B02","OPL 1st Div U12","","Spr OPL Crater Lake Div U12","Directors Cup OPL Silver U12"
"NPSA Titans A B02",499,0.52,0.24,30,"WA","B02","PSPL Classic 1 U12","","Spr PSPL Classic 1 U12","WA Cup BU12 Gold/Platinum U12"
"NW United Premier B03",499,0.53,0.23,45,"WA","B03","PSPL Premier U11","","Spr PSPL SuperLeague U11","WA Cup BU11 Gold/Platinum U11"
"FC Spokane Grey Triplett B01",498,0.63,0.2,16,"WA","B01","PSPL-Inland Div 2 U13","","Spr PSPL-Inland Div 2 U13",""
"4-H Cruz Azul B03",498,0.52,0.23,27,"OR","B03","PTT-B B03 Championship (9v9)","","Spr OYS B03 Premier White","OYS State Cup B03"
"Jackson Hole United White B03",495,0.49,0.25,10,"WY","B03","","","",""
"LCYSA Osprey B01",495,0.66,0.18,14,"OR","B01","PTT-B B01 Timbers Div 2","","",""
"Snohomish United White B01",493,0.38,0.31,28,"WA","B01","NPSL B13D3","","Spr NPSL B13D2",""
"SCORE Eagles Red B02",493,0.37,0.32,30,"WA","B02","PSPL Classic 2 U12","","Spr PSPL Classic 2 U12",""
"MVP Rapids White B02",492,0.45,0.26,25,"WA","B02","PSPL Classic 2 U12","","Spr PSPL Classic 2 U12","WA Cup BU12 Silver/Bronze U12"
"Tynecastle FC B03",491,0.47,0.25,33,"WA","B03","PSPL Premier U11","","Spr PSPL SuperLeague U11",""
"Sting SC Sunderland B02",490,0.49,0.24,10,"ID","B02","","","",""
"Eastside FC Blue B02",489,0.42,0.27,38,"WA","B02","RCL B02 Div 3","","Win RCL B02 Div 4","WYS Presidents Cup B02 Div 2"
"3 Rivers Grey B02",487,0.42,0.27,26,"WA","B02","NWL BU12","","Spr NWL BU12",""
"Timber Barons B02",486,0.39,0.29,28,"WA","B02","PTT-B B02 Championship","","Spr OYS B02 Div 1",""
"TC United B02",485,0.49,0.23,28,"WA","B02","PSPL Classic 2 U12","","Spr PSPL Classic 1 U12","WA Cup BU12 Gold/Platinum U12"
"Idaho Storm White B02",485,0.49,0.23,15,"ID","B02","Idaho D3 B U12","","Spr Idaho D3 B U12",""
"Twin Falls Rapids B02",484,0.51,0.22,11,"ID","B02","Idaho D3 B U12","","",""
"Jackson Hole United Black B03",484,0.48,0.23,15,"WY","B03","","","",""
"Idaho Storm Red B02",483,0.5,0.22,16,"ID","B02","Idaho D3 B U12","","Spr Idaho D3 B U12",""
"Westside Timbers Samba B03",481,0.51,0.22,38,"OR","B03","PTT-B B03 Championship (9v9)","","Spr OYS B03 Div 1","OYS State Cup B03"
"Moscow United B02",479,0.33,0.33,28,"ID","B02","NWL BU12","","Spr NWL BU12",""
"Central WA SA Navy B03",478,0.62,0.17,37,"WA","B03","PSPL Classic 1 U11","","Spr PSPL SuperLeague U11","WA Cup BU11 Gold/Platinum U11"
