"team","total","attack","defense","n.games","region","age","fall.league","other"
"Los Gatos United Gold G01",606,0.59,0.44,30,"CAN","G01","CalNorth CCSL Bronze",""
"Spokane Foxes Platinum G01",605,0.78,0.33,33,"WA","G01","PSPL INW Copa 1",""
"Northern Utah County Soccer Fury G01",605,0.5,0.52,25,"UT","G01","Utah Valley",""
"Sunnyvale Alliance SC Blast Red G01",602,0.63,0.4,25,"CAN","G01","CalNorth CCSL Bronze",""
"El Camino Real Monterey Salinas FC G01",601,0.38,0.67,10,"CAN","G01","",""
"Ajax Utah FC 02B G01",601,0.82,0.31,19,"UT","G01","Utah B",""
"Hot Shots G01",600,0.93,0.27,21,"UT","G01","Utah B",""
"Cascade FC G01 Green",598,0.5,0.49,37,"WA","G01","PSPL Classic 1",""
"Trebol SC Black G01",597,0.52,0.47,27,"CO","G02","CO Challenge North",""
"HSC Impact G01",596,0.7,0.35,33,"OR","G01","Thorns Div 2",""
"Vegas United 02 Red G01",594,0.38,0.62,22,"NV","G01","SSGSL Classic",""
"Granite Falls Thunderbirds G01",593,0.59,0.4,21,"WA","G01","NPSL 3",""
"Vail Valley Yellow G01",593,0.49,0.49,24,"CO","G01","CO Challenge Metro South",""
"Cascade Rush Revolution G01",592,0.4,0.59,21,"OR","G01","",""
"Alameda SC Islanders Navy G01",590,0.77,0.3,22,"CAN","G01","NorCal Copper",""
"Magnus FC Gold G01",589,0.59,0.39,25,"CAS","G01","CalS CSL Bronze",""
"Half Moon Bay Fog G01",589,0.5,0.46,22,"CAN","G01","CalNorth CCSL Copper",""
"SSA Pirates G01",588,0.47,0.49,19,"CAN","G01","CalNorth CCSL Copper",""
"Mustang Fierce G01",588,0.54,0.43,23,"CAN","G01","NorCal Bronze",""
"Pride SC 02 Red G01",587,0.29,0.79,30,"CO","G01","CO Classic 3",""
"Phoenix Rush 02 Nero G01",585,0.29,0.78,25,"AZ","G01","AZOL 3",""
"Mid-County Surf G01",585,0.56,0.4,20,"CAN","G01","CalNorth CCSL Bronze",""
"Missoula Strikers Red G01",583,0.44,0.51,14,"MT","G01","MYSA Select",""
"Silver FC G01",581,0.74,0.3,31,"WA","G01","NPSL 3",""
"THUSC Cobalt Redstar G01",581,0.62,0.35,26,"OR","G01","OPL 1st",""
"Breakers Bischoff G01",581,0.38,0.58,11,"WA","G01","",""
"Northern Utah County Soccer Blue Crush G01",577,0.7,0.3,20,"UT","G01","Utah Valley",""
"Orchard Valley Crush White G01",577,0.57,0.38,42,"CAN","G01","CalNorth CCSL Copper",""
"Cedar Storm G01",576,0.46,0.46,16,"UT","G01","Utah SUSA",""
"NEU Barcelona Blue G01",575,0.49,0.43,32,"OR","G01","OPL 1st",""
"Westside Timbers Samba G01",573,0.63,0.33,19,"OR","G01","Thorns Div 1",""
"Murray Max Orange G01",569,0.43,0.47,26,"UT","G01","Utah A",""
"Sunnyvale Alliance SC Blast Black G01",567,0.71,0.28,24,"CAN","G01","CalNorth CCSL Copper",""
"Orange Junior SC Crush G01",567,0.59,0.34,15,"CAS","G01","CalSouth Signature",""
"North Valley SC G01",563,0.49,0.39,25,"CAS","G01","CalS CSL Bronze",""
"SF Vikings Glens Indigo G01",559,0.73,0.26,22,"CAN","G01","CalN CCSL Prep Bronze",""
"San Ramon AZURI CS 02 Fireballs G01",558,0.49,0.38,15,"CAN","G01","NorCal Copper",""
"Mustang Banshees G01",558,0.56,0.33,29,"CAN","G01","NorCal Copper",""
"East Valley FC Blue G01",557,0.46,0.41,24,"CAN","G01","NorCal Silver",""
"San Bruno Lowen 83 Monsoon G01",555,0.29,0.63,20,"CAN","G01","CalNorth CCSL Copper",""
"Duke City Stars 02 Panthers G01",554,0.67,0.27,21,"NM","G01","Duke City League 2",""
"Wasatch SC Crush BC G01",552,0.52,0.35,33,"UT","G01","Utah B",""
"Colorado United Bronze G01",547,0.38,0.46,34,"CO","G01","CO Challenge Metro South",""
"SF Vikings Tremors Black G00",546,0.67,0.26,17,"CAN","G00","CalN CCSL Prep Bronze",""
"South San Jose Celtics G01",546,0.57,0.3,20,"CAN","G01","CalNorth CCSL Copper",""
"FC Spokane Cheney Storm FC G01",545,0.47,0.36,25,"WA","G01","PSPL INW Copa 1",""
"Octane FC G01",539,0.54,0.31,15,"UT","G01","Utah A",""
"Blue Knights 02 G01",539,0.55,0.3,22,"CO","G01","Utah B",""
"North Valley United Green G01",532,0.43,0.37,12,"CAN","G01","CalNorth CCSL Copper",""
"Forty-Niner United Xtreme G01",530,0.54,0.29,21,"CAN","G01","CalNorth CCSL Copper",""
"Long Beach Stingers G01",527,0.34,0.44,15,"CAS","G01","CalSouth Signature",""
"Molalla Youth Yellow G01",525,0.62,0.24,24,"OR","G01","Thorns Div 2",""
"Los Alamos 02 Hotshots G01",525,0.54,0.28,15,"NM","G01","Duke City League 2",""
"Utah Soccer Alliance 02 EM G01",525,0.43,0.35,11,"UT","G01","Utah B",""
"Encinitas Express Soccer Blue G01",523,0.41,0.36,19,"CAS","G01","CalSouth DSL3",""
"Newport FC Tenacity G01",523,0.38,0.38,32,"WA","G01","NPSL 2",""
"Outlaws FC Silver G01",522,0.41,0.36,31,"UT","G01","Utah B",""
"South Bay Gunners Black G01",521,0.49,0.3,14,"CAS","G01","CalS CSL Bronze",""
"Mesa SC 02 United G01",520,0.4,0.36,30,"AZ","G01","AZOL4",""
"Pride SC 02 White G01",514,0.49,0.28,20,"CO","G01","CO Challenge Metro South",""
"Fusion SC Livermore Heat G01",513,0.29,0.47,9,"CAN","G01","",""
"South Tacoma United G01",509,0.51,0.26,16,"WA","G01","D3-1",""
"Central Marin 02 Blue Magic G01",506,0.5,0.26,23,"CAN","G01","NorCal Silver",""
"Manteca Rangers United White G01",506,0.37,0.35,16,"CAN","G01","CalNorth CCSL Copper",""
"Westminster AFC 02 Copa G01",505,0.46,0.28,22,"CO","G01","CO Challenge North",""
"RVSC Timbers White G02",503,0.47,0.27,10,"OR","G02","SOCL",""
"Grants Pass YSC Blazers",501,0.4,0.32,10,"OR","G02","SOCL",""
"Valor Stern G01",500,0.79,0.16,11,"WA","G01","",""
"Peninsula Odyssey White G01",495,0.35,0.34,28,"CAN","G01","CalNorth CCSL Bronze",""
"Moscow United G01",490,0.24,0.49,20,"ID","G01","ID NWL",""
"Washington Timbers Burgundy G01",489,0.26,0.44,28,"WA","G01","Thorns Div 2",""
"Portneuf Valley SC G01",486,0.28,0.4,9,"ID","G01","",""
"Clackamas Black Eruption G01",485,0.35,0.32,41,"OR","G01","OPL 1st",""
"Thompson United G01",485,0.43,0.26,20,"CO","G01","CO Challenge North",""
"Monterey Bay Sports Sharks G01",483,0.28,0.4,13,"CAN","G01","CalNorth CCSL Copper",""
"Basin United Rage G03",483,0.5,0.22,10,"OR","G03","SOCL",""
"Belmont United SC Ice G01",483,0.48,0.23,28,"CAN","G01","CalNorth CCSL Bronze",""
"Vallejo FC Warriors G01",482,0.38,0.29,19,"CAN","G01","NorCal Bronze",""
"Colorado Rapids Youth 02 Blue G01",478,0.36,0.29,23,"CO","G01","CO Challenge Metro South",""
"DFC Yellow Jackets G01",476,0.29,0.37,24,"UT","G01","Utah B",""
"Santa Cruz City SC Jaws White G01",474,0.35,0.29,16,"CAN","G01","CalNorth CCSL Copper",""
"FC Milpitas Dynamite G01",472,0.44,0.23,28,"CAN","G01","CalNorth CCSL Copper",""
"EBU - Bay Oaks Sting Yellow G01",466,0.34,0.29,32,"CAN","G01","NorCal Bronze",""
"Rohnert Park Inferno G01",465,0.24,0.41,32,"CAN","G01","NorCal Silver",""
"Valor Delpizzo G01",463,0.35,0.27,25,"WA","G01","PSPL INW Copa 1",""
"Fuerza FC Academy G01",461,0.48,0.2,27,"WA","G01","PSPL Classic 2",""
"Spokane Foxes Red G01",461,0.31,0.3,18,"WA","G01","",""
"FWFC Fireballs G01",456,0.42,0.22,22,"WA","G01","D3-1",""
"Mission SF Chivas Mornarcas G00",455,0.25,0.36,17,"CAN","G00","CalN CCSL Prep Bronze",""
"Xifa 2021 G02",454,0.45,0.2,10,"WA","G02","PSPL INW Copa 1",""
"Parowan SC G01",452,0.48,0.19,8,"UT","G01","Utah SUSA",""
"Utah Surf 02R G01",447,0.36,0.24,25,"UT","G01","Utah A",""
"Sporting Carson Valley White G01",441,0.28,0.3,12,"NV","G01","GBYSL",""
"Umpqua United SC G-Force G02",440,0.39,0.21,10,"OR","G02","SOCL",""
"Freedom SC 02 Real G01",437,0.19,0.43,20,"AZ","G01","PCJSL",""
"Northern Utah County Soccer Dynamite G01",437,0.39,0.21,19,"UT","G01","Utah Valley",""
"Seattle Celtics White G01",437,0.47,0.17,12,"WA","G01","PSPL Classic 2",""
"Sagebrush Zephyr",437,0.28,0.29,22,"NV","G01","GBYSL",""
"AYSO Challenge FC Cyclones G01",436,0.47,0.17,16,"NM","G01","Duke City League 2",""
"Sparta United 02 South JT G01",434,0.36,0.22,22,"UT","G01","Utah A",""
"Pac San Jose Brasilliance G01",432,0.17,0.46,8,"CAN","G01","NorCal Silver",""
"Table Rock SC Wildcats G02",431,0.25,0.31,10,"OR","G02","SOCl",""
"East Bay Eclipse Solar G01",427,0.15,0.51,17,"CAN","G01","",""
"ISC Gunners Select G01",427,0.36,0.21,21,"WA","G01","NPSL 3",""
"Fire Soccer Academy Juniors Red G01",427,0.38,0.2,19,"WA","G01","PSPL Classic 2",""
"BYSC Select Wolverines G01",426,0.33,0.23,16,"WA","G01","NPSL 3",""
"Roseville YSC Vortex G01",424,0.24,0.31,27,"CAN","G01","CalNorth CCSL Copper",""
"SGESC Fusion G01",424,0.35,0.21,23,"WA","G01","D3-1",""
"Stanford SC 02 Heatwave G01",421,0.32,0.23,28,"CAN","G01","CalNorth CCSL Copper",""
"Napa Valley 02 Fire Black G01",421,0.29,0.25,11,"CAN","G01","NorCal Silver",""
"Bend FC Timbers White G01",417,0.35,0.2,30,"OR","G01","Thorns Div 2",""
"Oakland Orangezillas FC G01",416,0.44,0.16,22,"CAN","G01","NorCal Copper",""
"CB United G01",412,0.44,0.15,8,"WA","G01","",""
"Cascade FC G01 White",408,0.24,0.27,35,"WA","G01","PSPL Classic 2",""
"Cads Academy G01",405,0.38,0.17,8,"ID","G01","",""
"Santa Rosa South Earthquakes G01",403,0.25,0.25,13,"CAN","G01","NorCal Silver",""
"Northern Coyotes G02",402,0.22,0.29,9,"NM","G02","",""
"FC Elk Grove Impact G01",401,0.25,0.25,12,"CAN","G01","CalNorth CCSL Silver",""
"Colorado Hawks White G01",396,0.29,0.21,18,"CO","G01","CO Challenge Metro South",""
"Xtreme Blazers G01",390,0.27,0.21,19,"UT","G01","Utah Valley",""
"DFC Lions G01",384,0.4,0.14,20,"UT","G01","Utah B",""
"FC West Lady Vikings G01",373,0.22,0.24,27,"OR","G01","OPL 1st",""
"Northern Utah County Soccer Utah Blast G01",371,0.3,0.17,19,"UT","G01","Utah Valley",""
"San Diego United FC White G01",365,0.14,0.34,21,"CAS","G01","Presidio AA-B",""
"AYSO Challenge FC Legends G01",356,0.29,0.16,21,"NM","G01","Duke City League 2",""
"FC Brighton Hurricanes G01",347,0.18,0.24,9,"CO","G01","CO Challenge Metro South",""
"Southern Arizona FC Wolves G01",344,0.13,0.32,13,"AZ","G01","PCJSL",""
"Sawtooth United FC White G01",343,0.17,0.25,8,"ID","G01","",""
"Thelo United FC White Storm G01",329,0.13,0.28,27,"OR","G01","OPL 1st",""
"Bonneville YSL Odyssey G01",327,0.18,0.21,10,"ID","G01","",""
"Highline SC Tigers G01",327,0.16,0.24,12,"WA","G01","D3-1",""
"Foothills SC Rangers Green G01",313,0.18,0.2,23,"OR","G01","OPL 1st",""
"Monterey County FC United White G01",308,0.26,0.13,10,"CAN","G01","CalNorth CCSL Copper",""
"North Marin United White G01",303,0.12,0.28,20,"CAN","G01","NorCal Silver",""
"Mountain Home Strikers G01",299,0.15,0.21,8,"ID","G01","IYSA D3-B",""
"Velocity FC White G01",299,0.15,0.21,28,"WA","G01","PSPL Classic 2",""
"Utah Valley United Green G01",285,0.16,0.18,22,"UT","G01","Utah A",""
"Mt Hamilton Twilight G01",271,0.23,0.11,9,"CAN","G01","CalNorth CCSL Copper",""
"APTOS SC Tide White G01",267,0.11,0.22,26,"CAN","G01","CalNorth CCSL Copper",""
"RVSC Timbers White G03",255,0.16,0.15,8,"OR","G03","SOCL",""
"Richmond United Stingrays G01",189,0.11,0.13,17,"CAN","G01","CalNorth CCSL Copper",""
"Tecos Hayward FC Thundretts G01",139,0.1,0.1,16,"CAN","G01","NorCal Copper",""
"Davis Alliance The Republic G01",129,0.05,0.18,8,"CAN","G01","",""
"MI FC Hurricanes G01",121,0.06,0.14,24,"WA","G01","NPSL 3",""
"Wheat Ridge Avalanche Blue G01",75,0.05,0.14,19,"CO","G01","CO Challenge North",""
"Northern Utah County Soccer Rapids G01",15,0.05,0.09,10,"UT","G01","Utah Valley",""
"Ladera Ranch Wings G01",NA,NA,0.19,10,"CAS","G01","CalSouth Signature",""
