"team","total","attack","defense","n.games","region","age","fall.league","other"
"Forty-Niner United Net Rippers G01",946,2.06,1.34,37,"CAN","G01","NorCal Silver",""
"Colorado Storm Academy 02 White G01",944,1.63,1.66,31,"CO","G01","CO Classic 4",""
"IV Pumas Premier FC G01",943,1.99,1.36,12,"CAS","G01","Presidio AA-A",""
"AYSO Region 1046 02 Gold G01",942,1.95,1.38,37,"AZ","G01","AZOL 1",""
"Chicas G01",941,1.79,1.49,31,"ID","G01","IYSA D3-A","NWCL"
"SESC Dynamite G01",941,2.19,1.22,38,"OR","G01","OPL Premier",""
"Clovis JR SL 02 Crossfire Bruisers G01",941,2.16,1.23,22,"CAN","G01","CalN D7",""
"Granite Bay FC All Stars G01",941,2.37,1.12,41,"CAN","G01","CalNorth CCSL Silver Elite",""
"Fort Lowell SC 02 Express G01",941,1.78,1.49,10,"AZ","G01","AZSL 2",""
"La Academia Barcelona G01",940,2.06,1.28,13,"CAS","G01","CalS CSL Silver",""
"Utah Soccer Alliance 02 White G01",940,2.09,1.26,27,"UT","G01","Utah D2",""
"El Paso Southwest Rush Predator G01",938,1.54,1.69,15,"TX","G01","",""
"Arsenal Colorado Royal G01",938,1.44,1.81,34,"CO","G01","CO Classic 1",""
"North Marin United Green G01",938,2,1.3,39,"CAN","G01","NorCal Gold",""
"International Futbol Trouble G01",937,1.87,1.38,34,"CAS","G01","CalS CSL Bronze",""
"Arsenal FC San Diego Valdez G01",937,1.69,1.54,30,"CAS","G01","Presidio AA-C",""
"SSC Shadow United Lafferty G01",937,1.67,1.54,21,"WA","G01","ID NWL",""
"Valley United Sedaghat G01",936,1.4,1.84,25,"CAS","G01","CalS CSL Silver",""
"PacNW White G01",936,1.47,1.75,43,"WA","G01","RCL 4",""
"Timber Barons Green G01",935,1.42,1.79,28,"WA","G01","Thorns Div 1",""
"Wasatch SC Elite MP G01",934,2.45,1.04,36,"UT","G01","Utah D1",""
"Grants Pass YSC Bulldogs White G01",933,1.62,1.55,31,"OR","G01","Thorns Premier",""
"San Diego SC Black G01",933,2.09,1.2,27,"CAS","G01","Presidio AA-A",""
"United FC White G01",932,1.48,1.69,14,"CAS","G01","",""
"Rangers Signature G01",932,1.44,1.73,13,"CAS","G01","CalSouth Signature",""
"Carson Valley SC Quakes G01",932,1.67,1.49,38,"NV","G01","GBYSL",""
"Sereno SC 02 Chelsea Navy G01",930,1.48,1.67,37,"AZ","G01","AZOL 3",""
"Pacific FC Orange G00",930,2.06,1.2,8,"WA","G00","",""
"Cal Odyssey South White G01",929,2.51,0.97,25,"CAN","G01","NorCal Premier",""
"River City United Freedom G01",929,1.31,1.86,34,"CAN","G01","NorCal Silver",""
"San Carlos United Blitz Blue G01",929,1.68,1.45,38,"CAN","G01","CalNorth CCSL Silver",""
"United Premier FC G2002 Maroon",928,2.04,1.2,18,"CAS","G01","Presidio AA-C",""
"TFA Barcelona 02 AZ G01",928,1.61,1.51,34,"AZ","G01","AZOL 2",""
"Arizona SC 02 Thunder Sanchez 2 G01",926,1.41,1.71,16,"AZ","G01","AZOL4",""
"Denver Kickers DK Dominators G01",926,1.85,1.3,22,"CO","G01","CO Classic 3",""
"BIFC Blue Boca Juniors G01",926,1.74,1.38,32,"WA","G01","NPSL 2",""
"Southside SC Freedom G00",926,2.47,0.97,8,"OR","G00","",""
"Broomfield Blast 02 White G01",926,1.52,1.58,25,"CO","G01","CO Classic 3",""
"Riverside MGFM Rampage G01",926,2.1,1.14,43,"CAS","G01","CalS CSL Bronze",""
"Delta Magic G01",926,1.72,1.4,32,"CAN","G01","NorCal Gold",""
"NSC Reign G01",924,2.42,0.98,24,"WA","G01","NPSL 2",""
"Mill Valley 02 Rockers Red G01",924,1.65,1.43,36,"CAN","G01","NorCal Silver",""
"Oxnard Wave SC G01",923,3.13,0.75,13,"CAS","G01","CalS CSL Bronze",""
"North Orange County FC Black G01",923,1.82,1.29,39,"CAS","G01","CalS CSL Bronze",""
"Phoenix Premier 02 Black G01",923,1.28,1.84,30,"AZ","G01","AZSL 1",""
"Albuquerque United FC 03 Barcelona G02",922,1.2,1.95,12,"NM","G02","",""
"LV Premier Sports Academy 02 White G01",922,1.77,1.31,35,"NV","G01","SSGSL Classic",""
"Flagstaff SC 2002 United G01",922,1.35,1.72,39,"AZ","G01","AZOL 3",""
"LA Galaxy South Bay Gray G01",921,1.28,1.81,31,"CAS","G01","CalSouth DSL3",""
"Spokane Foxes Premier G01",921,1.59,1.46,35,"WA","G01","PSPL Premier","NWCL"
"CFC Black G01",920,1.73,1.33,40,"OR","G01","Thorns Championship",""
"TSS Academy 2001G",920,1.85,1.25,8,"BC","2001G","",""
"Cedar Fury G01",920,2.33,0.99,16,"UT","G01","Utah SUSA",""
"Highline Premier FC Blue G01",919,1.8,1.27,39,"WA","G01","PSPL Premier",""
"Arizona SC 02 Thunder Blue G01",919,1.34,1.71,45,"AZ","G01","AZOL 2",""
"Cook Inlet Velocity 03G Blue G02",918,1.96,1.16,13,"AK","G02","UAYSL",""
"FC Portland White G01",916,1.35,1.66,42,"OR","G01","OPL 1st",""
"Paso Del Norte Team Mexico G01",915,1.87,1.19,8,"TX","G01","",""
"Pride SC 02 United G01",914,1.76,1.25,29,"CO","G01","CO Classic 2",""
"Diablo FC Blue G01",914,1.79,1.23,43,"CAN","G01","NorCal Silver",""
"FPSC Fury Black G01",913,2,1.09,35,"WA","G01","PSPL Classic 1",""
"Canyon FC White Flor G01",912,1.17,1.86,39,"CAS","G01","CalS CSL Bronze",""
"Players SC 02 Elite JL G01",912,1.27,1.71,41,"NV","G01","NV Summit",""
"PCU Red G01",911,1.86,1.16,43,"OR","G01","Thorns Championship",""
"Chula Vista FC G01",910,2.48,0.86,22,"CAS","G01","Presidio SDDA 2",""
"Sheridan Storm G01",909,1.66,1.28,11,"WY","G01","WY League",""
"Central Santa Clara Valley Pride White G01",909,1.75,1.22,41,"CAN","G01","CalNorth CCSL Bronze",""
"RV Slammers White G01",909,1.63,1.31,37,"WA","G01","RCL 4",""
"Riverside SC Renegades G01",908,1.82,1.17,35,"CO","G01","CO Classic 1",""
"Blackhills FC Black G01",908,1.86,1.14,37,"WA","G01","RCL 4",""
"Wolfpack White G01",906,1.05,1.98,47,"CAS","G01","CalS CSL Bronze",""
"Laguna United FC White G01",906,1.54,1.35,34,"CAS","G01","CalSouth DSL3",""
"LA Galaxy CV Blue G01",906,1.29,1.61,17,"CAS","G01","CalS CSL Silver Elite",""
"AYSO Matrix El Cajon G01",905,1.63,1.28,32,"CAS","G01","Presidio AA-C",""
"FC Brighton Revolution G01",904,1.64,1.26,27,"CO","G01","CO Classic 4",""
"Murray Max Black G01",903,1.69,1.21,34,"UT","G01","Utah D1",""
"Westminster AFC 02 Cosmos G01",903,1.51,1.35,24,"CO","G01","CO Classic 1",""
"Colorado United Gold G01",903,1.63,1.25,35,"CO","G01","CO Classic 3",""
"Colorado Rapids Youth 02 Burgundy G01",902,1.41,1.44,29,"CO","G01","CO Classic 2",""
"Mustang Xplosion G01",902,1.14,1.78,34,"CAN","G01","NorCal Silver",""
"Sacramento United Extreme White G01",901,1.79,1.13,37,"CAN","G01","NorCal Silver",""
"American River FC 02 Freedom Red G01",901,1.78,1.13,15,"CAN","G01","",""
"Albany Berkeley SC Lightning Stryke G01",900,1.84,1.09,31,"CAN","G01","NorCal Silver",""
"Rocky Mountain Cougars Black G01",899,1.58,1.26,27,"CO","G01","CO Classic 3",""
"Idaho Rush Nero G01",899,1.66,1.19,31,"ID","G01","IYSA D3-B",""
"La Jolla Impact Blue G01",898,1.48,1.33,26,"CAS","G01","Presidio AA-B",""
"AYSO 223 Mt. Diablo Heat G01",896,1.55,1.26,33,"CAN","G01","",""
